STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
53,98845,5398845,B5,G6350,S,180122104,13938,+47.4315789,-119.9387307,N
53,98541,5398541,B5,G6350,S,547573891,4547801,+47.0607488,-123.3896344,N
53,98568,5398568,B5,G6350,S,389838892,2250535,+46.8548054,-123.3137115,N
53,98536,5398536,B5,G6350,S,158991185,1545847,+47.1949757,-124.1043721,N
53,98253,5398253,B5,G6350,S,32118442,15897676,+48.0923974,-122.5765373,N
53,98178,5398178,B5,G6350,S,12564278,2636151,+47.4993867,-122.2438513,N
53,98057,5398057,B5,G6350,S,15780776,171884,+47.4720203,-122.2218996,N
53,98146,5398146,B5,G6350,S,12045888,1761080,+47.5000582,-122.3578478,N
53,98125,5398125,B5,G6350,S,13960901,3976391,+47.7165126,-122.2958288,N
53,98148,5398148,B5,G6350,S,8117264,0,+47.4440981,-122.3248591,N
53,98031,5398031,B5,G6350,S,19424908,256402,+47.4054791,-122.1957723,N
53,98032,5398032,B5,G6350,S,43315933,761178,+47.3919421,-122.2571921,N
